population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,697,Quedas,1,Número,2023,857112.6188042145,1002002.0720113728,723350.2286879284
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,698,Afogamento,1,Número,2023,291139.60529960616,362863.5797623635,234030.33691248845
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,699,"Incêndio, calor e substâncias quentes",1,Número,2023,150653.20720609714,204928.63704421342,102842.19576022429
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,701,Intoxicação por gases e vapores,1,Número,2023,30890.425862175995,39849.64902179046,24383.17593579482
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,703,Intoxicação por outros meios,1,Número,2023,38914.09026380897,55812.67761964452,24515.644676166725
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,705,Ferimentos não intencionais por arma de fogo,1,Número,2023,16210.889621882456,25795.991160086276,10038.72590802102
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,707,Outras exposições a forças mecânicas,1,Número,2023,87842.94385094727,127328.97892675542,60554.23133849467
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,708,Efeitos adversos de tratamento médico,1,Número,2023,102532.37098249361,128578.97432234029,85252.03773983556
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,710,Contato com animal venenoso,1,Número,2023,93670.448434718,137066.07344867106,56311.75177703188
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,711,Contato com animal não venenoso,1,Número,2023,9457.455423324698,14946.436164725636,5219.289846249076
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,713,Aspiração pulmonar e corpo estranho nas vias aéreas,1,Número,2023,117510.90060158075,144643.2463289483,89983.93019120439
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,715,Corpo estranho em outra parte do corpo,1,Número,2023,2281.252888827577,3777.7101013387187,1296.0370383602167
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,716,Outros ferimentos não intencionais (internos),1,Número,2023,65216.5652713328,104330.37094418028,39733.564826203896
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1027,Carga total relacionada a hepatite c,1,Número,2023,497101.7030797384,566141.0558240135,426253.8184645102
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1028,Carga total relacionada a NASH,1,Número,2023,131483.46259994654,164879.6449117427,103446.195074439
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1029,Total de canceres,1,Número,2023,10434120.432555158,11031333.441804592,9605088.887119193
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1032,Transtornos da tireóide,1,Número,2023,32401.977988052426,41074.21029202538,25609.41053756992
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1048,COVID-19,1,Número,2023,846983.2709974273,909265.924292127,751414.9281251638
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1059,Total Cancers excluding Non-melanoma skin cancer,1,Número,2023,10370290.345552145,10961438.621535558,9549685.682257704
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1160,Other direct maternal disorders,1,Número,2023,35735.558735589155,51848.78474266634,25166.77600941392
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1161,Other digestive diseases,1,Número,2023,132829.72350620374,154486.78864251243,113544.08437062227
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1163,Self-harm by other specified means,1,Número,2023,701043.3708807322,789005.3326043102,610424.1075617295
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,1164,Other benign and in situ neoplasms,1,Número,2023,62450.21372277771,78990.60455513374,49110.99505583136
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,665,Úlcera de decúbito,1,Número,2023,48046.20022676582,62769.38082252357,36265.49535112316
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,668,Outras doenças da pele e tecidos subcutâneos,1,Número,2023,11325.390003772154,17634.731724735626,6929.424189321305
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,686,Síndrome de morte súbita infantil,1,Número,2023,25583.02884682628,40131.869722661126,15760.794709475967
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,690,Acidentes de trânsito com pedestre,1,Número,2023,401237.9063346593,531825.2551745943,294717.9304196326
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,691,Acidentes de trânsito com ciclista,1,Número,2023,88844.23127150699,127070.1664472918,61396.18537977065
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,692,Acidentes de trânsito com motociclista,1,Número,2023,319171.6387929139,416227.7758179341,216520.18718436392
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,971,Cirrose devido a esteatosose hepática não alcoólica,1,Número,2023,89762.1789113519,120282.01740140995,64645.30821836453
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,975,Diabetes mellitus tipo I,1,Número,2023,54342.10991643567,71591.04653282977,42248.337309809816
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,976,Diabetes mellitus tipo II,1,Número,2023,1948729.6563173183,2234152.0966013474,1645036.4349733377
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,995,Aborto,1,Número,2023,19645.66904489183,30848.665234359414,12200.596931904673
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,996,Cancer do fígado devido a esteatose hepática não alcoólica,1,Número,2023,41721.28368859461,52601.46768900531,31558.60358301762
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,997,Doença renal crônica devido ao diabetes mellitus tipo I,1,Número,2023,76487.61737065138,98436.94619616012,56396.416655191315
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,348,Leishmaniose visceral,1,Número,2023,4626.681757544873,8724.216918203385,1853.112087147737
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,350,Tripanossomíase Africana,1,Número,2023,1416.593472610632,2490.9899448570013,671.7789935930998
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,351,Esquistossomose,1,Número,2023,13466.783406856386,14771.2975749094,12276.015392222142
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,352,Cisticercose,1,Número,2023,1511.0633423092313,2053.893049544944,1092.3842560048902
